"","quarter","Unemp","CPI","r"
"50",1972-07-01,5.6,0.720291229405801,4.22
"51",1972-10-01,5.6,0.952388151125572,4.86333333333333
"52",1973-01-01,4.9,1.17786991926128,5.7
"53",1973-04-01,5,2.31491818669656,6.60333333333333
"54",1973-07-01,4.8,1.13766869821079,8.32333333333333
"55",1973-10-01,4.6,3.11829274366882,7.5
"56",1974-01-01,5.1,2.59754864032606,7.61666666666667
"57",1974-04-01,5.1,2.73989741881144,8.15333333333333
"58",1974-07-01,5.5,2.46419039369288,8.19
"59",1974-10-01,6,3.39015516756813,7.36
"60",1975-01-01,8.1,2.51707383465516,5.75
"61",1975-04-01,8.8,1.32955424812446,5.39333333333333
"62",1975-07-01,8.6,1.86921330121526,6.33
"63",1975-10-01,8.4,1.65293019512101,5.62666666666667
"64",1976-01-01,7.9,1.62605208717803,4.91666666666667
"65",1976-04-01,7.7,0.536194314138605,5.15666666666667
"66",1976-07-01,7.8,1.59154553058993,5.15
"67",1976-10-01,7.7,1.56661167443994,4.67333333333333
"68",1977-01-01,7.5,1.37223422551012,4.63
"69",1977-04-01,7.2,2.19048353880495,4.84
"70",1977-07-01,6.9,1.32452267500209,5.49666666666667
"71",1977-10-01,6.8,1.30720815673531,6.11
"72",1978-01-01,6.4,1.76995770994006,6.39333333333333
"73",1978-04-01,6.1,1.89579137446136,6.47666666666667
"74",1978-07-01,6.2,2.4730781257718,7.31333333333333
"75",1978-10-01,5.8,2.41339013364295,8.57
"76",1979-01-01,5.9,2.06497012905436,9.38333333333333
"77",1979-04-01,5.8,3.01963992310164,9.37666666666667
"78",1979-07-01,5.7,3.34292966491949,9.67333333333333
"79",1979-10-01,6,2.96917898074032,11.8433333333333
"80",1980-01-01,6.3,3.65575957337976,13.3533333333333
"81",1980-04-01,6.9,3.65049973748546,9.61666666666667
"82",1980-07-01,7.8,2.07958564624864,9.15333333333333
"83",1980-10-01,7.5,2.51059211310762,13.6133333333333
"84",1981-01-01,7.5,2.90887292569249,14.39
"85",1981-04-01,7.2,2.15550035618302,14.9066666666667
"86",1981-07-01,7.2,2.65796378047121,15.0533333333333
"87",1981-10-01,7.9,2.0552372953321,11.75
"88",1982-01-01,8.6,1.06497279166584,12.8133333333333
"89",1982-04-01,9.3,0.633581844908537,12.42
"90",1982-07-01,9.8,2.59754864032606,9.31666666666667
"91",1982-10-01,10.4,0.613498856751615,7.90666666666667
"92",1983-01-01,10.4,-0.204081703485315,8.10666666666667
"93",1983-04-01,10.2,0.915105521735793,8.39666666666667
"94",1983-07-01,9.4,1.00705785635959,9.14
